,Weight_in_gms,Cost_of_the_Product,Discount_offered,Warehouse_block_D,Warehouse_block_B,Warehouse_block_A,Product_importance,Prior_purchases,Mode_of_Shipment,Customer_care_calls,Gender,Target
1159,0.25975164353542735,0.7943925233644858,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1
952,0.32213294375456536,0.4299065420560748,0.13333333333333333,0.0,0.0,0.0,0.0,0.16666666666666669,0.5,0.2,0.0,1
7689,0.46208911614317016,0.48130841121495327,0.11666666666666667,0.0,1.0,0.0,1.0,0.16666666666666669,1.0,0.2,0.0,1
1504,0.1482834185536888,0.514018691588785,0.36666666666666664,0.0,0.0,0.0,1.0,0.6666666666666667,0.0,0.6000000000000001,1.0,1
3472,0.570781592403214,0.17757009345794394,0.05,0.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.6000000000000001,1.0,0
7610,0.7272461650840029,0.3598130841121495,0.11666666666666667,0.0,0.0,1.0,0.5,0.16666666666666669,1.0,0.2,0.0,0
5655,0.6901387874360847,0.47663551401869153,0.016666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.4,1.0,1
4316,0.49510591672753834,0.7616822429906541,0.03333333333333334,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.0,1
10087,0.6300949598246895,0.5747663551401868,0.08333333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.4,1.0,0
4266,0.6825420014609204,0.3411214953271028,0.03333333333333334,1.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.2,0.0,0
5955,0.6534696859021183,0.26635514018691586,0.13333333333333333,0.0,1.0,0.0,1.0,0.16666666666666669,1.0,0.2,0.0,0
10767,0.0013148283418553675,0.7570093457943924,0.0,0.0,1.0,0.0,1.0,0.49999999999999994,1.0,0.4,0.0,0
6127,0.6921840759678597,0.1869158878504673,0.016666666666666666,0.0,0.0,0.0,0.0,0.16666666666666669,1.0,0.2,0.0,0
6169,0.5326515704894084,0.3551401869158879,0.06666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0
3639,0.5268078889700512,0.7616822429906541,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6000000000000001,1.0,0
751,0.13148283418553688,0.30841121495327106,0.1,0.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.2,1.0,1
5740,0.7136596055514974,0.7663551401869159,0.13333333333333333,0.0,0.0,0.0,1.0,0.16666666666666669,0.5,0.4,1.0,1
