,Mode_of_Shipment,Customer_care_calls,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Target
1159,1.0,0.2,0.7943925233644858,0.0,0.8999999999999999,0.25975164353542735,1
952,0.5,0.2,0.4299065420560748,0.16666666666666669,0.13333333333333333,0.32213294375456536,1
7689,1.0,0.2,0.48130841121495327,0.16666666666666669,0.11666666666666667,0.46208911614317016,1
1504,0.0,0.6000000000000001,0.514018691588785,0.6666666666666667,0.36666666666666664,0.1482834185536888,1
3472,1.0,0.6000000000000001,0.17757009345794394,0.16666666666666669,0.05,0.570781592403214,0
7610,1.0,0.2,0.3598130841121495,0.16666666666666669,0.11666666666666667,0.7272461650840029,0
5655,1.0,0.4,0.47663551401869153,0.0,0.016666666666666666,0.6901387874360847,1
4316,1.0,0.2,0.7616822429906541,1.0,0.03333333333333334,0.49510591672753834,1
10087,1.0,0.4,0.5747663551401868,0.0,0.08333333333333334,0.6300949598246895,0
4266,1.0,0.2,0.3411214953271028,0.16666666666666669,0.03333333333333334,0.6825420014609204,0
5955,1.0,0.2,0.26635514018691586,0.16666666666666669,0.13333333333333333,0.6534696859021183,0
10767,1.0,0.4,0.7570093457943924,0.49999999999999994,0.0,0.0013148283418553675,0
6127,1.0,0.2,0.1869158878504673,0.16666666666666669,0.016666666666666666,0.6921840759678597,0
6169,0.0,0.2,0.3551401869158879,0.0,0.06666666666666667,0.5326515704894084,0
3639,1.0,0.6000000000000001,0.7616822429906541,0.0,0.0,0.5268078889700512,0
751,1.0,0.2,0.30841121495327106,0.16666666666666669,0.1,0.13148283418553688,1
5740,0.5,0.4,0.7663551401869159,0.16666666666666669,0.13333333333333333,0.7136596055514974,1
1094,0.0,0.2,0.4158878504672897,0.16666666666666669,0.03333333333333334,0.29948867786705624,1
10053,1.0,0.2,0.8130841121495326,0.16666666666666669,0.15,0.6451424397370343,0
2724,0.5,0.4,0.6121495327102803,0.16666666666666669,0.06666666666666667,0.3066471877282688,1
8792,1.0,0.2,0.2990654205607477,0.16666666666666669,0.06666666666666667,0.6607742878013149,0
4358,0.5,0.2,0.49065420560747663,0.3333333333333333,0.13333333333333333,0.689554419284149,1
3439,0.0,0.4,0.7616822429906541,0.16666666666666669,0.15,0.5726807888970051,1
8841,1.0,1.0,0.8084112149532711,0.3333333333333333,0.05,0.017092768444119805,1
4931,0.0,0.4,0.5093457943925234,0.0,0.15,0.46413440467494527,1
9414,1.0,1.0,0.9579439252336449,0.3333333333333333,0.15,0.1268078889700511,0
7278,1.0,0.2,0.5046728971962616,0.3333333333333333,0.08333333333333334,0.7195032870708546,1
8433,1.0,0.2,0.7476635514018691,0.16666666666666669,0.0,0.5742878013148284,0
5749,0.0,0.4,0.3878504672897196,0.16666666666666669,0.06666666666666667,0.4569758948137327,0
296,1.0,0.4,0.40654205607476634,0.16666666666666669,0.18333333333333335,0.3864134404674945,1
9195,0.0,0.6000000000000001,0.6542056074766355,0.49999999999999994,0.11666666666666667,0.06428049671292915,0
1406,1.0,0.4,0.26635514018691586,0.3333333333333333,0.1,0.018845872899926952,1
4765,1.0,0.4,0.20560747663551404,0.16666666666666669,0.05,0.7192111029948868,1
7971,1.0,0.4,0.5233644859813084,0.0,0.08333333333333334,0.623082542001461,0
10177,1.0,0.8,0.8785046728971962,0.3333333333333333,0.03333333333333334,0.04236669101533966,0
7538,0.0,0.2,0.26635514018691586,0.16666666666666669,0.13333333333333333,0.49715120525931333,0
